Date;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|
vie. mar. 22 2019;-110,17;-127,75;2;0;2;0;|;-107,06;-127,64;2;0;2;0;|;-93,14;-127,07;1;0;1;0;|;-105,62;-126,87;2;0;2;0;|;-99,17;-126,61;5;0;5;0;|;-95,9;-126,07;8;1;7;0;|;-107,02;-126,09;7;0;7;0;|;-96,45;-125,91;4;0;4;0;|;-;-;0;0;0;0;|;-99,57;-126,2;6;0;6;0;|;-99,96;-128,85;9;2;7;0;|;-104,58;-129,44;10;0;10;0;|;-98,76;-130,25;9;0;9;0;|;-100,85;-130,93;5;1;4;0;|;-94,69;-131,14;8;0;8;0;|;-107,84;-128,16;8;0;8;0;|;-98,99;-127,98;3;1;2;0;|;-;-;0;0;0;0;|;-98,99;-128,54;2;0;2;0;|;-;-;0;0;0;0;|;-106,09;-129;1;0;1;0;|;-102,26;-128,43;5;1;4;0;|;-105,32;-127,94;2;0;2;0;|;-108,17;-130,69;9;0;9;0;|;-93,14;-128,17;108;6;102;0;|
sáb. mar. 23 2019;-90,5;-130,2;10;1;9;0;|;-99,71;-130,48;10;1;9;0;|;-100,36;-130,61;8;1;7;0;|;-102,92;-130,39;5;0;5;0;|;-95,16;-129,96;5;1;4;0;|;-106,63;-130,66;4;0;4;0;|;-101,56;-130,04;7;2;5;0;|;-100,4;-129,92;5;0;5;0;|;-104,32;-129,76;11;1;10;0;|;-102,52;-130,47;10;1;9;0;|;-100,77;-130,63;13;0;12;1;|;-98,12;-130,98;8;1;7;0;|;-103,65;-131,16;16;3;13;0;|;-102,14;-130,91;6;1;5;0;|;-115,28;-131,85;6;1;5;0;|;-110,01;-128,76;5;0;5;0;|;-114,53;-131,67;3;0;3;0;|;-95,31;-131,07;3;1;2;0;|;-107,11;-131,44;5;0;5;0;|;-103,33;-131,17;4;3;1;0;|;-110,83;-128,28;1;0;1;0;|;-110,83;-128,28;4;0;4;0;|;-111,12;-130,9;2;0;2;0;|;-94,53;-130,81;9;1;8;0;|;-90,5;-130,43;160;19;140;1;|
dom. mar. 24 2019;-103,61;-130,85;5;1;4;0;|;-98,5;-130,86;6;0;6;0;|;-97,63;-130,15;13;0;13;0;|;-96,84;-130,59;11;1;10;0;|;-96,84;-130,59;6;0;6;0;|;-108,74;-130,58;5;0;5;0;|;-109,23;-130,55;3;0;3;0;|;-93,28;-130,3;12;2;10;0;|;-96,93;-129,25;10;2;8;0;|;-105,05;-130,26;13;1;12;0;|;-104,3;-130,51;11;1;10;0;|;-105,5;-131,24;16;4;12;0;|;-107,11;-131,41;13;0;13;0;|;-106,55;-131,57;7;1;6;0;|;-99,7;-128,07;6;0;6;0;|;-112,38;-132,16;3;0;3;0;|;-110,86;-131,85;4;0;4;0;|;-106,74;-131,98;6;0;6;0;|;-110,78;-128,65;4;0;4;0;|;-110,78;-128,65;2;0;2;0;|;-105,43;-128,76;4;0;4;0;|;-104,48;-128,63;3;0;3;0;|;-105,22;-128,9;3;0;3;0;|;-102,45;-128,91;4;0;4;0;|;-93,28;-130,22;170;13;157;0;|
lun. mar. 25 2019;-111,67;-130,79;6;1;5;0;|;-100,68;-131,06;5;0;5;0;|;-100,38;-130,33;6;1;5;0;|;-98,01;-131;5;1;4;0;|;-105,4;-130,53;10;1;9;0;|;-103,08;-130,28;9;0;9;0;|;-107,26;-130,04;6;0;6;0;|;-99,1;-129,97;5;1;4;0;|;-96,55;-129,86;10;1;9;0;|;-95,45;-129,81;8;1;7;0;|;-109,17;-130,98;5;1;4;0;|;-102,53;-131,27;12;1;11;0;|;-103,5;-131,38;8;1;7;0;|;-94,5;-131,51;7;0;7;0;|;-109,45;-131,89;8;1;7;0;|;-104,03;-131,66;12;0;12;0;|;-104,58;-131,88;6;1;5;0;|;-114,17;-132,19;2;0;2;0;|;-106,57;-129,7;2;0;2;0;|;-111,63;-129,32;2;0;2;0;|;-105,08;-129,13;4;0;4;0;|;-105,08;-128,5;5;0;5;0;|;-107,02;-128,86;6;0;6;0;|;-112,94;-129,23;1;0;1;0;|;-94,5;-130,47;150;12;138;0;|
mar. mar. 26 2019;-87,45;-126,42;5;2;3;0;|;-105,54;-128,31;10;1;9;0;|;-106,3;-130;7;1;6;0;|;-102,07;-129,5;3;0;3;0;|;-99,88;-128,89;5;1;4;0;|;-106,67;-128,9;9;1;8;0;|;-94,67;-128,9;8;2;6;0;|;-99,67;-128,8;5;0;5;0;|;-107,58;-129,12;10;0;10;0;|;-108,03;-129,58;9;0;9;0;|;-92,01;-129,17;13;1;12;0;|;-103,64;-130,82;10;0;10;0;|;-99,41;-130,04;9;2;7;0;|;-109,28;-130,84;8;0;8;0;|;-111,53;-131,52;7;0;7;0;|;-109,47;-131,69;4;0;4;0;|;-95,97;-131,5;6;0;6;0;|;-103,01;-131,43;6;0;6;0;|;-111,72;-131,69;2;0;2;0;|;-;-;0;0;0;0;|;-109,87;-127,64;1;1;0;0;|;-108,72;-127,59;3;0;3;0;|;-104,6;-127,95;5;0;5;0;|;-104,54;-128,71;6;0;6;0;|;-87,45;-129,52;151;12;139;0;|
mié. mar. 27 2019;-104,77;-128,28;9;0;9;0;|;-107,15;-128,31;3;0;3;0;|;-111,92;-128,41;1;0;1;0;|;-112,73;-129,12;3;0;3;0;|;-106,64;-129,7;5;0;5;0;|;-107,59;-128,96;5;0;5;0;|;-113,76;-130,38;3;0;3;0;|;-103,54;-129,21;7;0;7;0;|;-97,93;-128,85;6;1;5;0;|;-111,17;-129,62;7;2;5;0;|;-106,81;-129,91;8;0;8;0;|;-96,32;-130,13;12;0;12;0;|;-100,53;-130,7;11;1;10;0;|;-98,88;-131,15;4;1;3;0;|;-90,58;-130,66;9;1;8;0;|;-106,02;-131,39;7;1;6;0;|;-102,26;-131,37;5;0;5;0;|;-103,47;-131,28;4;3;1;0;|;-99,84;-129,71;7;2;5;0;|;-111,27;-130,72;3;0;3;0;|;-101,69;-127,88;1;0;1;0;|;-101,69;-127,88;1;0;1;0;|;-107,77;-127,74;5;0;5;0;|;-98,71;-127,32;6;0;6;0;|;-90,58;-129,53;132;12;120;0;|
jue. mar. 28 2019;-101,17;-127,48;5;1;4;0;|;-100,54;-127,32;4;0;4;0;|;-104,84;-127,01;3;1;2;0;|;-96,98;-129,22;5;0;5;0;|;-97,55;-129,22;4;0;4;0;|;-111,69;-130,1;4;0;4;0;|;-102,99;-128,9;11;0;11;0;|;-97,44;-129,2;8;1;7;0;|;-97,44;-129,48;14;1;13;0;|;-99,72;-130,59;8;1;7;0;|;-108,78;-130,64;8;0;8;0;|;-108,43;-130,64;13;0;13;0;|;-104,62;-131,06;6;1;5;0;|;-105,33;-131,48;5;2;3;0;|;-102,15;-130,33;9;0;9;0;|;-109,56;-130,33;3;0;3;0;|;-104,09;-131,7;5;1;4;0;|;-100,76;-131,47;2;1;1;0;|;-113,92;-131,8;1;0;1;0;|;-104,01;-129,47;4;0;4;0;|;-101,6;-129;4;0;4;0;|;-101,34;-129,17;3;1;2;0;|;-99,89;-129,17;2;0;2;0;|;-95,81;-129,05;9;1;8;0;|;-95,81;-129,74;140;12;128;0;|
vie. mar. 29 2019;-102,08;-130,63;8;0;8;0;|;-86,66;-130;4;1;3;0;|;-106,94;-130,78;3;0;3;0;|;-99,78;-129,43;8;0;8;0;|;-112,69;-130,18;2;0;2;0;|;-105,4;-129,26;6;0;6;0;|;-93,1;-128,74;12;2;10;0;|;-106,25;-129,28;7;0;7;0;|;-107,02;-129,17;11;0;11;0;|;-104,78;-130,53;12;2;10;0;|;-103,89;-130,96;9;2;7;0;|;-105,28;-131,14;4;0;4;0;|;-109,88;-130,77;8;0;8;0;|;-105,68;-130,99;9;1;8;0;|;-108,49;-131,38;7;0;7;0;|;-105,88;-131,36;7;1;6;0;|;-112,58;-131,36;1;0;1;0;|;-104,79;-131,44;2;0;2;0;|;-104,68;-131,5;4;0;4;0;|;-102,27;-130,45;6;1;5;0;|;-114,25;-131,6;2;0;2;0;|;-111,5;-130,84;5;0;5;0;|;-107,98;-130,72;6;0;6;0;|;-103,13;-128,74;6;0;6;0;|;-86,66;-130,47;149;10;139;0;|
sáb. mar. 30 2019;-110,88;-129,37;1;0;1;0;|;-107,57;-128,48;3;0;3;0;|;-105,05;-130,34;13;2;10;1;|;-93,28;-129,19;6;0;6;0;|;-105,63;-128,91;5;0;5;0;|;-106,8;-129;9;0;9;0;|;-105,9;-129,64;3;0;3;0;|;-106,69;-129,27;8;1;7;0;|;-104,5;-129,16;6;0;5;1;|;-99,85;-129,4;12;3;8;1;|;-105,76;-128,34;13;1;12;0;|;-97,53;-130,83;5;1;4;0;|;-92,91;-128,09;9;1;8;0;|;-100,83;-127,94;2;1;1;0;|;-95,06;-127,94;9;0;9;0;|;-85,87;-129,98;9;2;7;0;|;-101,51;-131,64;13;3;10;0;|;-99,84;-131,39;2;0;2;0;|;-111,07;-131,71;1;0;1;0;|;-97,92;-131,14;6;1;5;0;|;-113,63;-131,1;3;0;3;0;|;-102,19;-127,61;4;0;4;0;|;-105,36;-127,41;8;0;8;0;|;-99,18;-128,33;2;1;1;0;|;-85,87;-129,43;152;17;132;3;|
dom. mar. 31 2019;-106,88;-128,31;4;0;4;0;|;-105,55;-128;10;1;9;0;|;-;-;0;0;0;0;|;-101,58;-130,34;11;1;10;0;|;-101,79;-129,69;6;0;6;0;|;-105,15;-129,34;7;0;7;0;|;-107,92;-129,26;3;0;3;0;|;-99,37;-130,24;8;2;6;0;|;-92,35;-128,61;12;1;11;0;|;-105,22;-130,02;11;0;11;0;|;-104,61;-130,23;7;0;7;0;|;-102,61;-128,45;14;1;12;1;|;-107,73;-127,67;3;0;3;0;|;-96,74;-127,64;5;0;5;0;|;-96,1;-128,21;4;1;3;0;|;-110,87;-127,98;2;0;2;0;|;-107,79;-127,83;2;0;2;0;|;-100,04;-127,94;3;0;3;0;|;-105,12;-130,02;2;0;2;0;|;-111,58;-127,23;3;0;3;0;|;-97,67;-127,62;2;0;2;0;|;-105,09;-126,7;6;0;6;0;|;-103,27;-128,23;8;0;8;0;|;-102,1;-128,89;7;0;7;0;|;-92,35;-128,63;140;7;132;1;|
