Date;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|;Max S [dBm];Avg N [dBm];Total;overdenses;underdenses;fakes;|
jue. jun. 27 2019;-92,92;-128,13;17;4;13;0;|;-93,44;-127,32;14;0;14;0;|;-101,1;-131,16;24;2;22;0;|;-104,75;-133,24;29;3;25;1;|;-95,55;-133,27;38;10;28;0;|;-93,5;-133,3;51;9;41;1;|;-94,35;-133,36;41;5;36;0;|;-85,83;-131,93;63;7;55;1;|;-88,29;-131,77;62;6;56;0;|;-99,22;-125,11;37;5;32;0;|;-91,47;-126,82;27;2;25;0;|;-103,37;-131,29;38;7;31;0;|;-93,62;-131,19;31;6;25;0;|;-103,56;-134,05;41;2;38;1;|;-98,97;-134,13;44;9;35;0;|;-95,3;-134,69;30;9;21;0;|;-103,18;-135,47;22;4;18;0;|;-88,55;-133,4;17;2;15;0;|;-91,89;-129,67;15;3;12;0;|;-100,41;-133,43;13;1;12;0;|;-101,95;-133,88;9;0;9;0;|;-103,84;-133,77;10;0;10;0;|;-103,84;-134,74;21;1;20;0;|;-91,7;-129,62;31;4;27;0;|;-85,83;-131,86;725;101;620;4;|
vie. jun. 28 2019;-91,14;-132,64;24;1;23;0;|;-98,95;-133,59;16;1;15;0;|;-90,6;-126,96;15;1;14;0;|;-98,14;-126,79;16;0;16;0;|;-88,88;-131,49;41;4;37;0;|;-91,45;-132,08;34;6;27;1;|;-85,8;-133,37;37;5;32;0;|;0;0;38;6;32;0;|;-90,16;-128,11;30;3;27;0;|;-101,69;-126,11;31;6;25;0;|;-96,97;-130,66;30;5;25;0;|;-92,21;-132,13;30;4;26;0;|;-101,81;-132,04;33;6;26;1;|;-102,66;-132,82;23;2;21;0;|;-107,92;-133,06;27;0;27;0;|;-90,27;-132,47;19;1;18;0;|;-102,2;-133,05;13;2;11;0;|;-96,49;-133,43;11;2;9;0;|;-97,59;-131,31;21;4;17;0;|;-109,2;-132,87;4;0;4;0;|;-93,3;-131,53;4;1;3;0;|;-98,27;-131,66;8;1;7;0;|;-96,17;-132,19;22;0;22;0;|;-106,68;-132,5;11;0;11;0;|;0;-125,95;538;61;475;2;|
sáb. jun. 29 2019;-106,33;-133,15;19;1;18;0;|;-90,15;-132,3;29;6;23;0;|;-104,06;-128,35;12;1;11;0;|;-91,51;-128,43;29;3;26;0;|;-97,36;-131,85;28;2;26;0;|;-82,63;-132,3;51;5;46;0;|;-89,59;-131,94;49;7;40;2;|;-94,2;-131,27;57;10;47;0;|;-93,99;-127,85;45;4;41;0;|;-87,56;-130,36;48;12;36;0;|;-99,76;-132,17;25;3;22;0;|;-97,91;-131,51;35;2;33;0;|;-96,9;-132,71;22;3;19;0;|;-104,12;-132,1;43;4;39;0;|;-94,83;-133,35;37;6;30;1;|;-99,3;-135,02;26;4;22;0;|;-100,51;-135,22;24;6;17;1;|;-100,31;-134,14;15;2;12;1;|;-107,87;-133,45;9;0;9;0;|;-109,24;-133,19;6;0;6;0;|;-103,25;-132,94;11;1;9;1;|;-103,67;-132,46;9;1;8;0;|;-112,36;-133,15;11;2;9;0;|;-98,4;-132,57;24;0;24;0;|;-82,63;-132,16;664;85;573;6;|
dom. jun. 30 2019;-94,74;-132,88;21;2;19;0;|;-105,4;-133,18;29;2;27;0;|;-86,11;-129,19;33;3;30;0;|;-86,11;-130,25;42;5;37;0;|;-91,94;-127,29;29;5;23;1;|;-94,84;-130,47;39;7;32;0;|;-98,52;-131,87;36;6;30;0;|;-90,89;-127,86;39;3;36;0;|;-98,25;-127,75;51;10;41;0;|;-83,43;-128,45;52;6;45;1;|;-93,77;-131,25;33;1;32;0;|;-107,52;-131,56;26;1;25;0;|;-103,78;-132,08;30;6;24;0;|;-102,09;-132,08;24;2;22;0;|;-97,27;-133,37;29;3;26;0;|;-88,26;-133,75;28;5;23;0;|;-93,85;-134,4;26;3;23;0;|;-107,83;-134,78;19;2;17;0;|;-112,49;-134,46;11;1;10;0;|;-105,78;-133,36;7;0;7;0;|;-97,95;-132,27;7;0;7;0;|;-95,33;-132,74;9;1;8;0;|;-101,35;-131,56;21;2;19;0;|;-100,22;-132,05;24;2;22;0;|;-83,43;-131,62;665;78;585;2;|
lun. jul. 1 2019;-97,4;-132,85;29;2;27;0;|;-83,36;-129,8;34;7;27;0;|;-83,09;-125,25;31;3;27;1;|;-98,31;-128,58;27;3;24;0;|;-98,07;-131,12;31;5;24;2;|;-91,47;-130,85;36;7;28;1;|;-96,94;-132,17;48;8;40;0;|;-97,25;-132,28;52;6;46;0;|;-92,77;-127,57;42;7;32;3;|;-81,7;-131,32;35;6;29;0;|;-98,25;-131,98;41;7;34;0;|;-87,34;-129,01;34;6;27;1;|;-101,58;-131,45;21;1;20;0;|;-97,74;-131,54;25;3;22;0;|;-98,12;-131,8;22;6;15;1;|;-94,32;-131,86;24;4;20;0;|;-96,98;-133,54;12;3;9;0;|;-87,35;-131,45;12;1;11;0;|;-114,85;-134,06;9;1;8;0;|;-110,33;-132,01;5;1;4;0;|;-100,08;-131,13;11;1;10;0;|;-104,24;-131,35;14;1;13;0;|;-93,93;-128,47;11;1;10;0;|;-99,59;-129,98;24;2;22;0;|;-81,7;-130,89;630;92;529;9;|
mar. jul. 2 2019;-102,87;-131,24;28;4;24;0;|;-97,98;-132,54;28;2;26;0;|;-93,12;-133,35;38;1;37;0;|;-93,12;-133,25;30;2;28;0;|;-95,36;-132,72;41;2;39;0;|;-83,56;-132,25;40;7;33;0;|;-87,24;-131,06;50;8;42;0;|;-86,56;-131,42;56;6;47;3;|;-95,87;-131,83;41;4;37;0;|;-93,25;-127,8;32;9;23;0;|;-91,75;-132,34;32;7;24;1;|;-100,68;-131,94;32;6;26;0;|;-103,96;-130,87;19;1;18;0;|;-93,09;-131,66;20;2;18;0;|;-94,73;-132,11;23;5;18;0;|;-87,29;-131,07;19;6;13;0;|;-76,27;-129,14;47;21;14;12;|;-105,71;-132,96;7;0;7;0;|;-92,66;-132,19;9;2;7;0;|;-106,61;-133,7;7;0;7;0;|;-108,36;-129,23;8;0;8;0;|;-107,38;-129,23;11;0;11;0;|;-103,57;-130,29;20;0;20;0;|;-85,68;-130,79;29;2;27;0;|;-76,27;-131,46;667;97;554;16;|
mié. jul. 3 2019;-92,56;-125,88;21;3;18;0;|;-92,86;-130,02;31;1;30;0;|;-92,95;-131,82;53;10;42;1;|;-95,75;-132,34;57;13;44;0;|;-98,43;-130,26;58;12;46;0;|;-92,35;-130,41;54;6;48;0;|;-90,73;-130,32;43;3;40;0;|;-87;-129,87;58;11;46;1;|;-89,99;-130,12;72;9;63;0;|;-95,23;-127,22;41;4;37;0;|;-82,34;-126,3;27;5;20;2;|;-103,22;-130,22;30;2;28;0;|;-94,22;-130,34;18;6;12;0;|;-96,91;-130,32;23;1;22;0;|;-94,79;-130,87;23;6;17;0;|;-101,92;-131,87;15;2;13;0;|;-99,96;-130,56;12;1;11;0;|;-104,7;-131,46;10;1;9;0;|;-96,47;-130,29;6;2;4;0;|;-109,38;-130,94;1;0;1;0;|;-106,74;-131,76;6;0;6;0;|;-99,34;-131,42;13;0;13;0;|;-109,05;-132,02;13;0;13;0;|;-106,67;-128,35;26;0;26;0;|;-82,34;-130,21;711;98;609;4;|
jue. jul. 4 2019;-93,7;-128,22;10;1;9;0;|;-104,21;-130,45;24;1;23;0;|;-86,03;-131,5;40;9;29;2;|;-105,86;-132,76;31;2;29;0;|;-92,15;-132,03;32;5;27;0;|;-91,63;-131,86;41;6;34;1;|;-87,04;-130,65;32;2;30;0;|;-88,85;-131,35;38;2;36;0;|;-106,86;-132,95;35;4;31;0;|;-93,3;-132,34;40;5;35;0;|;-98,71;-127,59;22;5;17;0;|;-97,9;-131,71;20;1;19;0;|;-90,08;-132,17;17;2;15;0;|;-98,91;-131,33;26;1;25;0;|;-101,85;-132,41;12;3;9;0;|;-97,73;-132,22;16;3;13;0;|;-106,45;-132,26;12;0;11;1;|;-97,12;-132,58;4;0;4;0;|;-97,93;-132,51;6;0;6;0;|;-103;-131,58;11;1;10;0;|;-109,83;-132,41;6;0;6;0;|;-103,1;-132,38;10;1;9;0;|;-99,26;-131,76;17;2;15;0;|;-100,83;-128,33;13;1;12;0;|;-86,03;-131,47;515;57;454;4;|
vie. jul. 5 2019;-102,34;-130,1;28;4;24;0;|;-100,55;-131,56;35;3;32;0;|;-102,43;-133,1;35;3;32;0;|;-86,98;-131,73;35;6;29;0;|;-96,43;-131,71;35;6;28;1;|;-91,56;-132,75;48;6;42;0;|;-94,87;-130,95;40;10;29;1;|;-98,07;-132,46;44;13;31;0;|;-96,93;-132,4;40;6;31;3;|;-98,36;-127,41;35;5;30;0;|;-96,31;-127,33;15;2;13;0;|;-98,08;-131,93;14;1;13;0;|;-102,71;-132,1;15;2;13;0;|;-101,3;-132,24;15;1;14;0;|;-101,92;-132,34;14;2;12;0;|;-101,7;-132,87;16;2;14;0;|;-101,04;-132,94;12;1;11;0;|;-104,2;-132,68;15;2;13;0;|;-108,45;-133;6;0;6;0;|;-104,97;-133,22;8;0;8;0;|;-98,93;-132,62;3;0;3;0;|;-105,72;-132,55;13;2;11;0;|;-101,13;-128,38;11;1;10;0;|;-108,33;-129,64;15;0;15;0;|;-86,98;-131,58;547;78;464;5;|
sáb. jul. 6 2019;-92,45;-131,18;28;5;23;0;|;-96,97;-133,08;29;3;26;0;|;-95,71;-133,44;35;2;33;0;|;-92,77;-133,18;34;6;28;0;|;-88,07;-131,71;37;6;31;0;|;-83,7;-128,76;48;4;43;1;|;-92,23;-129,24;27;5;22;0;|;-94,49;-132,75;50;8;42;0;|;-101,56;-132,26;37;3;34;0;|;-102,05;-127,22;29;2;27;0;|;-97,95;-129,41;26;5;21;0;|;-105,98;-131,43;17;1;16;0;|;-98,43;-130,92;19;3;16;0;|;-107,11;-131,86;15;0;15;0;|;-102,42;-131,97;27;3;24;0;|;-90,8;-130,64;11;2;9;0;|;-104,57;-133,41;6;0;6;0;|;-106,87;-132,27;9;0;9;0;|;-107,29;-132,72;8;2;6;0;|;-105,68;-132,71;6;0;6;0;|;-104,89;-132,33;10;0;10;0;|;-100,39;-132,19;19;1;18;0;|;-103,49;-129,45;11;0;11;0;|;-97;-129,92;19;2;17;0;|;-83,7;-131,42;557;63;493;1;|
dom. jul. 7 2019;-96,08;-132,49;28;2;26;0;|;-90,69;-132,92;44;3;40;1;|;-97,61;-132,55;39;5;33;1;|;-96,71;-133,15;45;2;43;0;|;-105,5;-130,51;34;1;32;1;|;-104,92;-132,48;34;5;29;0;|;-94,31;-131,67;36;9;27;0;|;-94,48;-132,97;41;4;36;1;|;-84,19;-132,69;43;4;39;0;|;-93,34;-127,44;23;2;21;0;|;-91,33;-127,45;22;3;17;2;|;-89,58;-130,9;22;1;21;0;|;-104,64;-131,41;9;0;9;0;|;-97,01;-130,97;18;3;15;0;|;-95,13;-132,58;14;4;10;0;|;-103,59;-132,78;8;1;7;0;|;-100,43;-133,12;14;1;13;0;|;-100,1;-132,62;9;2;7;0;|;-113,04;-133,74;7;0;7;0;|;-104,59;-132,91;10;0;10;0;|;-99,94;-131,99;7;1;6;0;|;-91,7;-131,64;12;2;10;0;|;-94,79;-128,9;11;2;9;0;|;-97,18;-127,95;25;4;20;1;|;-84,19;-131,58;555;61;487;7;|
lun. jul. 8 2019;-99,48;-131,07;31;6;25;0;|;-99,02;-134,06;48;5;42;1;|;-95,13;-131,65;48;3;45;0;|;-99,11;-132,65;32;4;28;0;|;-93,25;-131,74;37;5;29;3;|;-97,57;-131,66;32;5;25;2;|;-106,76;-131,52;30;2;28;0;|;-97,47;-129,78;31;4;27;0;|;-95,15;-132,04;41;6;35;0;|;-103,5;-131,81;27;3;24;0;|;-98,06;-130,31;23;5;17;1;|;-96,49;-129,41;8;3;5;0;|;-98,75;-127,3;6;2;4;0;|;-98,75;-129,32;12;1;11;0;|;-99,66;-132,69;13;3;10;0;|;-100,49;-132;11;2;9;0;|;-105,61;-132,64;12;1;11;0;|;-101,65;-132,44;13;0;13;0;|;-97,5;-131,81;3;1;2;0;|;-107,22;-131,85;6;0;6;0;|;-105,26;-129,19;17;0;17;0;|;-101,01;-130,45;8;2;6;0;|;-100,13;-130,06;19;3;16;0;|;-105,21;-130,3;13;0;13;0;|;-93,25;-131,15;521;66;448;7;|
mar. jul. 9 2019;-88,06;-129,89;19;1;18;0;|;-90,07;-131,42;23;1;22;0;|;-94,31;-131,3;20;1;19;0;|;-102,5;-131,05;30;0;30;0;|;-96,39;-130,46;26;5;21;0;|;-85,65;-130,55;25;3;22;0;|;-99,24;-130,68;29;3;26;0;|;-97,17;-130,22;35;8;26;1;|;-93,22;-132,72;51;6;43;2;|;-94,07;-131,04;32;4;28;0;|;-93,37;-133,32;33;4;29;0;|;-102,77;-133,41;19;2;17;0;|;-106,69;-130,86;20;2;17;1;|;-103,22;-129,31;9;0;9;0;|;-104,67;-129,75;8;2;6;0;|;-91,84;-128,69;9;0;9;0;|;-103,1;-131,81;11;2;9;0;|;-98,2;-131,4;7;1;6;0;|;-97,49;-129,84;8;1;7;0;|;-96,3;-131,96;7;2;5;0;|;-101,03;-131,92;5;0;5;0;|;-100,56;-131,6;12;0;12;0;|;-102,13;-131,36;16;3;13;0;|;-94,53;-129,88;31;4;27;0;|;-85,65;-131,02;485;55;426;4;|
mié. jul. 10 2019;-106,72;-131,56;21;0;21;0;|;-97,59;-131,51;27;0;27;0;|;-92,05;-131,1;29;5;23;1;|;-94,12;-129,4;30;6;24;0;|;-95,81;-130,7;27;3;24;0;|;-88,8;-128,39;20;4;16;0;|;-94,57;-130,99;22;3;19;0;|;-89,61;-130,78;35;3;32;0;|;-87,28;-130,67;37;6;31;0;|;-91,93;-130,77;35;4;30;1;|;-92,35;-132,84;27;4;23;0;|;-107,66;-133,38;21;0;21;0;|;-106,05;-129,89;11;0;11;0;|;-95,02;-126,7;9;2;7;0;|;-95,95;-131,15;19;1;18;0;|;-103,88;-133,07;16;2;14;0;|;-99,92;-132,56;8;3;5;0;|;-87,01;-132,59;12;3;9;0;|;-106,59;-133,27;8;0;8;0;|;-112,59;-132,23;6;0;6;0;|;-97,17;-132,44;8;0;8;0;|;-110,91;-131,13;14;1;13;0;|;-84,03;-128,03;14;0;14;0;|;-97,59;-129,35;19;1;18;0;|;-84,03;-131,02;475;51;422;2;|
jue. jul. 11 2019;-84,02;-133,18;34;1;33;0;|;-92,49;-133,14;27;3;24;0;|;-95,61;-133,11;28;0;28;0;|;-96,55;-132,49;29;2;27;0;|;-87,17;-130,52;20;7;12;1;|;-100,66;-132,12;29;0;29;0;|;-96,49;-130,25;24;2;22;0;|;-84,8;-132,1;41;3;38;0;|;-86,29;-129,63;29;1;27;1;|;-105,74;-125,63;14;0;14;0;|;-99,44;-130,07;22;1;21;0;|;-107,99;-131,01;14;1;13;0;|;-91,52;-128,78;18;5;13;0;|;-109,25;-131,52;12;1;11;0;|;-97,36;-130,82;13;1;12;0;|;-104,7;-132,65;14;2;11;1;|;-107,46;-133,75;14;1;13;0;|;-104,98;-134,23;14;2;12;0;|;-103,09;-135,4;10;1;9;0;|;-110,94;-134,63;7;0;7;0;|;-100,22;-133,05;14;0;14;0;|;-100,99;-132,19;14;1;13;0;|;-93,92;-132,27;23;2;21;0;|;-90,24;-132,37;24;4;20;0;|;-84,02;-131,87;488;41;444;3;|
vie. jul. 12 2019;-96,76;-132,59;29;4;25;0;|;-84,12;-129,51;31;5;26;0;|;-109,27;-127,61;11;0;11;0;|;-98,88;-131,41;25;1;24;0;|;-93,67;-131,15;39;7;32;0;|;-96,65;-133,4;34;4;30;0;|;-102,89;-133,26;27;1;26;0;|;-99,42;-132,07;26;0;26;0;|;-85,67;-126,63;16;3;13;0;|;-85,67;-131,23;32;4;28;0;|;-102,5;-132,74;24;1;23;0;|;-106,44;-131,51;17;1;14;2;|;-106,44;-133,05;22;2;20;0;|;-100,53;-133,58;24;3;21;0;|;-106,72;-133,52;23;0;23;0;|;-97,17;-134,79;16;0;16;0;|;-111,85;-134,71;16;0;16;0;|;-114,1;-134,78;6;1;5;0;|;-101,95;-135,15;11;1;10;0;|;-105,38;-132,45;11;0;11;0;|;-107,49;-133,89;13;0;13;0;|;-100,73;-133,36;12;0;12;0;|;-87,59;-132,77;23;0;23;0;|;-103,46;-132,69;21;2;19;0;|;-84,12;-132,41;509;40;467;2;|
sáb. jul. 13 2019;-83,76;-127,91;25;1;24;0;|;-97,93;-132,3;36;5;31;0;|;-99,78;-133,21;38;4;34;0;|;-93,73;-131,82;19;1;18;0;|;-98,86;-128,22;19;1;18;0;|;-102,09;-125,58;16;4;12;0;|;-102,72;-128,06;21;3;18;0;|;-85,86;-125,32;20;3;17;0;|;-100,43;-129,12;35;5;30;0;|;-99,99;-130,98;27;2;25;0;|;-100,86;-128,67;22;3;19;0;|;-85,94;-127,29;11;1;10;0;|;-111,08;-131,91;8;0;8;0;|;-102,22;-131,93;21;0;21;0;|;-101,68;-131,9;25;2;23;0;|;-92,36;-130,67;23;3;20;0;|;-97,91;-129,18;21;4;17;0;|;-96,7;-132,63;19;3;16;0;|;-95,24;-132,64;12;1;11;0;|;-90,11;-129,56;10;2;8;0;|;-102,18;-130,61;16;1;15;0;|;-104,3;-128,14;9;1;8;0;|;-97,29;-126,25;14;2;12;0;|;-104,54;-129,57;25;0;25;0;|;-83,76;-129,73;492;52;440;0;|
dom. jul. 14 2019;-99,31;-131,48;39;3;36;0;|;-86,17;-128,98;52;5;47;0;|;-93,81;-132,86;47;7;40;0;|;-90,67;-132,59;54;3;51;0;|;-85,4;-130,38;36;10;26;0;|;-98,43;-131,88;43;6;37;0;|;-87,31;-129,72;45;4;41;0;|;-89,54;-130,88;45;3;41;1;|;-95,28;-132,27;54;3;51;0;|;-94,74;-130,52;53;7;46;0;|;-104,14;-124,66;15;0;15;0;|;-77,56;-126,31;16;3;13;0;|;-103,5;-130,75;18;3;15;0;|;-99,25;-129,37;22;1;20;1;|;-100,57;-131;21;0;21;0;|;-99,22;-130,06;20;2;18;0;|;-111,46;-132,28;12;0;12;0;|;-89,57;-131,67;15;1;14;0;|;-112,24;-134,63;7;0;7;0;|;-98,66;-132,8;8;1;7;0;|;-105,08;-132,84;15;0;15;0;|;-90,51;-128,39;11;3;8;0;|;-103,25;-128,26;7;1;6;0;|;-94,63;-130,36;24;4;20;0;|;-77,56;-130,62;679;70;607;2;|
lun. jul. 15 2019;-100,28;-132,54;24;1;23;0;|;-103,66;-132,57;25;0;25;0;|;-90,15;-132,58;35;4;31;0;|;-103,35;-133,09;20;2;18;0;|;-92,51;-131,56;41;10;30;1;|;-97,39;-132,38;25;5;20;0;|;-101,63;-132,41;30;3;27;0;|;-97,87;-132,97;33;4;29;0;|;-104,31;-132,98;36;3;33;0;|;-97,74;-127,65;30;2;28;0;|;-97,74;-125,89;13;1;12;0;|;-102,65;-131,47;14;2;12;0;|;-106,84;-132,21;17;2;15;0;|;-98,31;-131,94;11;1;10;0;|;-89,41;-131,85;18;3;15;0;|;-95,01;-131,98;17;2;15;0;|;-96,57;-131,63;21;2;19;0;|;-111,71;-132,64;6;0;6;0;|;-117,65;-134,37;8;0;8;0;|;-103,58;-132,07;6;1;5;0;|;-104,43;-132,12;10;1;9;0;|;-103,44;-131,52;10;2;8;0;|;-97,49;-131,52;24;1;23;0;|;-93,18;-127,82;13;0;13;0;|;-89,41;-131,66;487;52;434;1;|
mar. jul. 16 2019;-100,8;-128,55;18;0;18;0;|;-100,15;-131,93;26;3;23;0;|;-96,57;-133,19;34;3;30;1;|;-100,26;-132,94;22;1;21;0;|;-98,03;-133,39;36;2;33;1;|;-99,89;-132,39;37;7;29;1;|;-101,59;-132,68;29;4;25;0;|;-106,61;-132,84;23;1;22;0;|;-97,04;-133,12;32;2;28;2;|;-96,24;-129,26;17;0;17;0;|;-100,03;-126,91;12;0;12;0;|;-99,24;-130,87;22;1;21;0;|;-96,67;-130,78;15;1;13;1;|;-100,67;-131,68;19;1;18;0;|;-102,93;-132,21;20;1;19;0;|;-96,77;-133,14;16;2;14;0;|;-93,37;-133,24;14;2;12;0;|;-97,5;-133,45;10;1;9;0;|;-100,74;-134,6;8;1;7;0;|;-98,23;-132,82;15;3;12;0;|;-90,72;-131,75;6;0;6;0;|;-106,73;-132,13;11;1;10;0;|;-96,61;-132,28;17;3;14;0;|;-108,36;-131,65;20;1;19;0;|;-90,72;-131,99;479;41;432;6;|
mié. jul. 17 2019;-97,81;-131,57;25;2;23;0;|;-98,22;-127,92;14;1;12;1;|;-92,74;-127,74;29;3;26;0;|;-98,97;-131,7;22;3;19;0;|;-92,63;-132,97;31;5;26;0;|;-104,74;-132,62;42;2;40;0;|;-98,96;-132,76;38;5;31;2;|;-100,73;-133,2;37;4;33;0;|;-98,96;-130,93;27;0;27;0;|;-103,37;-125,76;21;2;19;0;|;-85,83;-130,91;25;4;21;0;|;-106,65;-131,98;16;0;16;0;|;-105,48;-130,97;14;3;11;0;|;-112,27;-131,26;9;0;9;0;|;-104,11;-131,91;4;1;3;0;|;-99,88;-133,2;12;0;12;0;|;-108,71;-133,32;15;1;14;0;|;-103,86;-133,42;17;0;17;0;|;-104,36;-132,19;11;1;10;0;|;-104,39;-133,45;8;0;8;0;|;-112,37;-132,78;4;0;4;0;|;-105,08;-130,96;14;0;14;0;|;-99,79;-131,45;14;2;12;0;|;-98,61;-128,17;9;0;9;0;|;-85,83;-131,38;458;39;416;3;|
jue. jul. 18 2019;-98,56;-129,68;34;2;32;0;|;-98,41;-132,25;34;2;32;0;|;-101,39;-132,91;46;2;44;0;|;-102,72;-133,02;37;4;33;0;|;-99,89;-133,11;35;2;33;0;|;-94,9;-132,16;34;4;28;2;|;-106,02;-132,98;35;8;27;0;|;-90,4;-132,52;29;3;26;0;|;-94,34;-131,95;21;3;18;0;|;-91,79;-125,29;22;5;17;0;|;-100,66;-128,34;28;1;27;0;|;-105,86;-132,54;21;1;20;0;|;-88,72;-130,16;12;2;10;0;|;-106,06;-130,38;13;0;13;0;|;-105,1;-131,18;16;2;14;0;|;-109,46;-131,5;10;3;7;0;|;-96,54;-130,73;15;2;12;1;|;-93,91;-131,04;6;1;5;0;|;-108,12;-131,56;7;0;7;0;|;-104,47;-131,83;7;0;7;0;|;-105,85;-132,02;9;1;8;0;|;-95,18;-132,38;17;1;16;0;|;-103,59;-132,11;29;2;27;0;|;-91,59;-131,46;29;2;27;0;|;-88,72;-131,38;546;53;490;3;|
vie. jul. 19 2019;-99,45;-127,09;20;2;18;0;|;-92,89;-127,62;20;0;20;0;|;-80,65;-131,56;32;3;29;0;|;-100,34;-132,65;29;2;27;0;|;-93,31;-129,37;31;3;28;0;|;-91,53;-133,18;32;3;29;0;|;-96,22;-132,23;37;4;33;0;|;-102,74;-132,78;30;3;27;0;|;-101,84;-130,99;27;2;25;0;|;-99,78;-126,56;23;2;21;0;|;-107,03;-132,21;21;2;18;1;|;-96,69;-132,05;13;0;13;0;|;-106,23;-130,44;17;2;15;0;|;-92,2;-132,27;14;0;14;0;|;-97,17;-132,5;12;1;11;0;|;-100,54;-132,93;15;0;15;0;|;-91,06;-130,18;15;1;14;0;|;-102,75;-133,29;12;2;10;0;|;-105,98;-133,56;15;0;15;0;|;-106,26;-133,78;13;0;13;0;|;-105,67;-133,26;15;1;14;0;|;-100,03;-132,63;21;2;19;0;|;-105,67;-133,27;12;1;11;0;|;-88,74;-132,53;23;2;21;0;|;-80,65;-131,62;499;38;460;1;|
sáb. jul. 20 2019;-102,4;-133,23;27;5;22;0;|;-91,1;-132,53;36;6;30;0;|;-85,55;-127,58;19;3;16;0;|;-97,9;-127,37;27;1;26;0;|;-103,42;-132,42;24;3;21;0;|;-102,45;-133,1;35;2;33;0;|;-105,35;-132,32;30;2;28;0;|;-102,91;-132,2;19;0;19;0;|;-103,18;-126,95;22;3;19;0;|;-89,31;-126,76;27;1;25;1;|;-102,15;-131,47;25;1;24;0;|;-103,8;-131,97;15;3;12;0;|;-93,61;-130,5;21;5;16;0;|;-105,85;-131,38;14;0;14;0;|;-105,83;-131,32;18;1;17;0;|;-97,92;-131,36;13;2;11;0;|;-107,72;-131,81;9;1;8;0;|;-110,57;-131,97;14;1;13;0;|;-110,7;-131,54;8;0;8;0;|;-90,75;-132,42;12;2;10;0;|;-108,43;-133,27;12;0;12;0;|;-100,24;-132,9;23;1;22;0;|;-100,24;-133,28;27;1;26;0;|;-100,86;-134,09;38;3;35;0;|;-85,55;-131,41;515;47;467;1;|
dom. jul. 21 2019;-107,04;-133,66;26;1;25;0;|;-96,43;-132,72;45;7;38;0;|;-94,99;-130,64;45;3;41;1;|;-102,21;-128,09;20;2;17;1;|;-92,23;-130,01;34;3;30;1;|;-99,54;-132,26;27;2;25;0;|;-96,55;-131,72;23;2;21;0;|;-98,48;-131,92;37;5;31;1;|;-105,36;-127,33;15;1;14;0;|;-103,03;-131,94;23;1;22;0;|;-98,44;-132,21;25;2;23;0;|;-98,2;-131,57;30;2;28;0;|;-101,59;-132,41;14;0;14;0;|;-103,11;-130,98;12;1;11;0;|;-103,49;-131,5;10;1;9;0;|;-99,71;-131,94;17;3;14;0;|;-98,92;-133,13;12;0;12;0;|;-101,55;-135,03;11;0;11;0;|;-103,84;-135,12;23;2;21;0;|;-106,52;-135,35;19;1;18;0;|;-111,66;-131,16;18;1;17;0;|;-87,85;-132,1;12;2;10;0;|;-94,98;-134,18;40;6;34;0;|;-103,48;-132,85;33;3;30;0;|;-87,85;-132,08;571;51;516;4;|
